"id","label","shape","font.size"
"wosoroo","wosoroo","text",40
"safaraa","safaraa","text",40
"dekperee","ɖɛkpɛrɛɛ","text",40
"polopolo","pɔlɔpɔlɔ","text",40
"fiefie","fiɛfiɛ","text",40
"sinisini","sinisini","text",40
"doboroo","ɖɔbɔrɔɔ","text",40
"fuefue","fũɛ̃fũɛ̃","text",40
"wurufuu","wurufuu","text",40
"haptic touch","HAPTIC TOUCH","text",40
"touch","TOUCH","text",40
"surface texture","SURFACE TEXTURE","text",40
"smooth","SMOOTH","text",40
"malleable","MALLEABLE","text",40
"soft","SOFT","text",40
"grainy","GRAINY","text",40
"rough","ROUGH","text",40
